confirmed,deaths,city_ibge_code
161,1,2107357
206,3,2107407
58,4,2107456
399,40,2107506
28,1,2107605
44,0,2107704
16,1,2107803
20,0,2107902
14,1,2108009
73,1,2108058
80,1,2108108
615,12,2108207
73,0,2108256
116,1,2108306
82,1,2108405
208,1,2108454
57,3,2108504
344,14,2108603
204,0,2108702
184,1,2108801
130,0,2108900
53,1,2109007
29,0,2109056
269,1,2109106
20,0,2109205
26,0,2109239
89,5,2109270
20,0,2109304
27,0,2109403
79,7,2109452
12,0,2109502
91,0,2109551
176,4,2109601
1,0,2109700
3,0,2109759
450,1,2109809
2099,14,2109908
99,1,2110005
12,0,2110039
38,1,2110237
239,3,2110104
152,4,2110203
31,0,2110278
296,2,2110302
174,2,2110401
218,2,2110500
164,5,2110609
29,0,2110658
187,0,2110708
0,0,2110807
61,0,2110856
0,0,2110906
48,4,2111003
167,0,2111029
27,0,2111052
13,1,2111078
52,0,2111102
745,47,2111201
6,0,2111250
9935,544,2111300
8,0,2111409
362,11,2111508
140,0,2111532
12,0,2111573
40,0,2111607
69,1,2111631
30,0,2111672
73,0,2111706
40,0,2111722
25,0,2111748
87,1,2111763
16,0,2111789
130,0,2111805
9,0,2111904
5,0,2111953
9,0,2112001
22,3,2112100
497,6,2112209
335,3,2112233
14,1,2112274
159,1,2112308
85,0,2112407
190,1,2112456
379,7,2112506
599,1,2112605
99,1,2112704
207,3,2112803
51,0,2112852
136,1,2112902
85,1,2113009
1224,11,2114007
5,0,3100104
1,0,3100203
4,1,3100500
2,0,3100708
4,0,3100906
10,0,3101003
53,0,3101102
45,2,3101508
17,0,3101607
2,1,3101631
15,0,3101706
4,0,3101805
1,0,3101904
1,0,3102001
1,0,3102050
12,1,3153509
2,0,3102100
73,0,3102209
0,0,3102506
5,1,3102605
12,0,3102803
4,0,3102902
4,0,3103009
2,0,3103405
25,1,3103504
3,0,3103603
7,0,3103751
1,0,3103801
143,2,3104007
5,0,3104106
25,0,3104205
13,1,3104601
2,0,3104908
29,0,3105400
296,4,3105608
1,0,3105707
2,0,3105905
3,0,3106002
4,1,3106101
2144,55,3106200
11,0,3106309
2,1,3106408
171,11,3106705
5,0,3106903
1,0,3107000
33,2,3107109
2,0,3107208
3,0,3107307
12,1,3107406
1,0,3107802
5,0,3107901
4,1,3108107
1,0,3108206
4,0,3108305
5,0,3108404
7,0,3108602
0,0,3108800
8,0,3108909
27,0,3109006
3,1,3109105
9,0,3109204
1,0,3109253
1,0,3109303
1,0,3109709
1,0,3102704
2,0,3109808
3,0,3109907
11,0,3110004
1,0,3110202
14,0,3110301
61,1,3110509
37,0,3110608
3,0,3110707
1,0,3110905
1,0,3111002
5,0,3111101
6,0,3111200
4,0,3111507
4,0,3111606
1,0,3111804
6,0,3111903
4,0,3112000
1,0,3112109
0,0,3112307
1,0,3112406
3,0,3112505
4,0,3112604
10,0,3112703
2,1,3112802
3,0,3113107
6,0,3113206
93,2,3113305
31,0,3113404
1,0,3113503
1,0,3113602
1,0,3113701
4,0,3113909
1,0,3114006
1,0,3114105
42,2,3114204
7,0,3114303
6,0,3114402
13,0,3114501
1,0,3114600
1,0,3114709
1,0,3115003
41,2,3115300
11,0,3115359
3,0,3115409
6,0,3115458
13,1,3115508
17,1,3115805
1,0,3115904
3,0,3116001
17,0,3116209
0,0,3116308
3,0,3116605
1,0,3116704
1,0,3117009
2,0,3117306
3,0,3117504
2,0,3117702
2,0,3117801
1,0,3117900
27,1,3118007
39,0,3118304
6,0,3118403
327,13,3118601
1,0,3118700
27,0,3119104
7,0,3119302
123,0,3119401
1,0,3119609
9,0,3119906
1,0,3120003
4,0,3120102
5,0,3120151
2,0,3120508
5,0,3120805
47,0,3120904
7,0,3121100
1,0,3121209
1,0,3121258
1,0,3121308
9,0,3121605
5,0,3121704
5,0,3121803
1,0,3121902
5,0,3122009
1,0,3122108
204,2,3122306
6,0,3122355
1,0,3122405
1,0,3122470
2,0,3122504
1,0,3123205
2,0,3123528
6,0,3123601
0,0,3123700
1,0,3123809
1,0,3123858
3,0,3124005
19,0,3124104
26,0,3124203
5,1,3124302
3,0,3124401
17,1,3124500
10,1,3124609
1,0,3124807
4,0,3124906
102,3,3125101
4,1,3125309
6,0,3125903
4,0,3125952
3,0,3126000
25,0,3126109
1,0,3126505
1,0,3126703
11,0,3126901
1,0,3127008
10,1,3127107
2,0,3127388
1,0,3127503
1,0,3127602
229,7,3127701
1,0,3127800
3,0,3128006
3,0,3128105
1,0,3128303
1,0,3128501
24,0,3128709
2,0,3128907
4,0,3129202
